Sample,Length,Width
Pal09_63,9.7,9.07
Pal13_WCCF_60,9.85,8.79
Pal13ort1044,9.49,8.91
PA09_10,9.14,8.03
PA09_39,9.06,7.74
PA09_67,9.31,7.93
T47,9.32,8.33
BSA 3,9.06,7.99
M80,9.18,8.14
BB07_34,9.72,8.75
BB07_277,9.58,8.42
BB07_192,9.73,8.65
BB07_274,9.67,8.17
GAV2_11,10,8.7
GAV3_18,9.99,8.94
GAV1_6,9.73,8.68
GAV2_15,9.82,8.73
Pal09_377,9.88,8.86
Pal09_371,9.49,8.16
Pal09_105,9.73,8.81
MC3_t4,9.2,8.07
Hawaii_colony 5,9.27,8.19
SPA_119,9.46,8.42
Pal13_WCCF_141,9.08,7.92
RSKA11_110,9.94,8.89
AGJA11_09,10.29,9.05
ZAN07_249,10.25,9.2
PAL09_82,10.32,8.87
AGJA11_17,10.19,9.1
CULTURE_A001,9.83,9.07
MTB4,10.25,9.13
Pal09_16,10.36,9.24
PAL09_19,9.9,8.78
Pal09_27,10.24,9
Phu07_542,10.14,9.14
Phu07_589,9.97,9.37
Phu07_544,10.22,9.5
PHU07_583,10.23,9.02
