Sample,Host,Symbiodinium,ITS 2 type,Population,Sym09,Sym09,Sym11,Sym11,Sym14,Sym14,Sym17,Sym17,Sym67,Sym67,Sym92,Sym92,Sym87,Sym87,Sym88,Sym88,Sym66,Sym66
BB07_1,Pocillopora,S. glynnii,D1,BB,108,108,151,151,177,177,167,167,143,143,128,128,246,246,230,230,0,0
BB07_10,Pocillopora,S. glynnii,D1,BB,111,111,151,151,177,177,167,167,143,143,128,128,246,246,230,230,0,0
BB07_103,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,157,157,143,143,128,128,250,250,230,230,0,0
BB07_104,Pocillopora,S. glynnii,D1,BB,102,102,151,151,177,177,161,161,143,143,128,128,250,250,230,230,0,0
BB07_105,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,155,155,140,140,128,128,250,250,230,230,0,0
BB07_106,Pocillopora,S. glynnii,D1,BB,102,102,151,151,177,177,163,163,143,143,128,128,250,250,230,230,0,0
BB07_107,Pocillopora,S. glynnii,D1,BB,105,105,153,153,177,177,155,155,137,137,128,128,250,250,230,230,0,0
BB07_11,Pocillopora,S. glynnii,D1,BB,108,108,0,0,177,177,0,0,143,143,128,128,246,246,230,230,0,0
BB07_114,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,250,250,230,230,0,0
BB07_117,Pocillopora,S. glynnii,D1,BB,105,105,0,0,177,177,0,0,143,143,128,128,250,250,230,230,0,0
BB07_118,Pocillopora,S. glynnii,D1,BB,105,105,0,0,177,177,0,0,143,143,128,128,250,250,230,230,0,0
BB07_119,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,155,155,140,140,128,128,254,254,230,230,0,0
BB07_120,Pocillopora,S. glynnii,D1,BB,105,105,0,0,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BB07_121,Pocillopora,S. glynnii,D1,BB,105,105,151,151,179,179,153,153,140,140,128,128,250,250,230,230,0,0
BB07_122,Pocillopora,S. glynnii,D1,BB,108,108,157,157,179,179,151,151,143,143,128,128,250,250,230,230,0,0
BB07_123,Pocillopora,S. glynnii,D1,BB,105,105,0,0,177,177,0,0,140,140,128,128,250,250,230,230,0,0
BB07_125,Pocillopora,S. glynnii,D1,BB,105,105,0,0,177,177,0,0,140,140,128,128,250,250,230,230,0,0
BB07_127,Pocillopora,S. glynnii,D1,BB,105,105,151,151,179,179,153,153,140,140,128,128,250,250,230,230,0,0
BB07_128,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,163,163,143,143,128,128,246,246,230,230,0,0
BB07_129,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,155,155,140,140,128,128,250,250,230,230,0,0
BB07_13,Pocillopora,S. glynnii,D1,BB,108,108,151,151,177,177,169,169,143,143,128,128,246,246,230,230,0,0
BB07_131,Pocillopora,S. glynnii,D1,BB,105,105,0,0,179,179,0,0,143,143,128,128,250,250,230,230,0,0
BB07_132,Pocillopora,S. glynnii,D1,BB,105,105,0,0,177,177,0,0,143,143,128,128,250,250,230,230,0,0
BB07_133,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BB07_134,Pocillopora,S. glynnii,D1,BB,105,105,149,149,177,177,155,155,140,140,128,128,250,250,230,230,0,0
BB07_136,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,250,250,230,230,0,0
BB07_137,Pocillopora,S. glynnii,D1,BB,108,108,151,151,177,177,157,157,140,140,128,128,250,250,230,230,0,0
BB07_139,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,157,157,143,143,128,128,246,246,230,230,0,0
BB07_141,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,155,155,143,143,128,128,254,254,230,230,0,0
