Sample,Seq
CCMP_2556,S. trenchii
AT_24,S. trenchii
PAL09_94,S. trenchii
Pal09_7,S. trenchii
Pal09_13,S. trenchii
MF10.08A,S. trenchii
STX04_60,S. trenchii
CULTURE_A001,S. trenchii
SPA138,
Pal09_70,S. glynnii
Pal09_377,S. glynnii
Pal09_324 ,
Pal09_63_D1,S. glynnii
BB07_58,S. glynnii
BB07_60,S. glynnii
Pal09_448,S. glynnii
Pal09_123,S. glynnii
Pal09_269,S. glynnii
Pal09_294,S. glynnii
BSA08_24,S. glynnii
MC3_t4,S. glynnii
Haw02_106,S. glynnii
Pal09_62,S. glynnii
Pal09_78,S. glynnii
Pal13_WCCF_06,S. glynnii
BB07_241,S. glynnii
PG1_1,S. glynnii
LAP09_221,S. glynnii
BB07_41,S. glynnii
BB07_261,S. glynnii
BSA08_55,S. glynnii
BSA08_59,S. glynnii
BB07_176,S. glynnii
BB07_179,S. glynnii
BB07_54,S. glynnii
BB07_18,S. glynnii
BB07_40,S. glynnii
BB07_105,S. glynnii
Lap07_157,S. glynnii
PA09_57,S. glynnii
PA09_67,S. glynnii
Pal09_105,S. glynnii
NA_1_T0,S. trenchii
NA_5_T0,S. trenchii
PAL09_67,S. trenchii
PAL09_19,S. trenchii
GAV1_6,S. glynnii
GAV2_11,S. glynnii
GAV2_15,S. glynnii
BB07_34,S. glynnii
BB07_277,S. glynnii
Phu07_544,S. trenchii
PHU07_583,S. trenchii
NPA_3_T0,S. trenchii
OPA13_4_6m,S. trenchii
NC_4_T0,S. trenchii
NC_6_T0,S. trenchii
NPA_8_T0,S. trenchii
OPA_8_T0,S. trenchii
NPA_1_T0,S. trenchii
