Sample,pS.trenchii,pS.glynnii
BB07_1,0.017056186,0.982943814
BB07_10,0.017056186,0.982943814
BB07_103,0.017056186,0.982943814
BB07_104,0.035062961,0.964937039
BB07_105,0.017224291,0.982775709
BB07_106,0.035062961,0.964937039
BB07_107,0.018572021,0.981427979
BB07_11,0.03372176,0.96627824
BB07_114,0.017056186,0.982943814
BB07_117,0.03372176,0.96627824
BB07_118,0.03372176,0.96627824
BB07_119,0.017056186,0.982943814
BB07_120,0.017750993,0.982249007
BB07_121,0.017056186,0.982943814
BB07_122,0.018572021,0.981427979
BB07_123,0.03372176,0.96627824
BB07_125,0.03372176,0.96627824
BB07_127,0.017056186,0.982943814
BB07_128,0.017056186,0.982943814
BB07_129,0.017056186,0.982943814
BB07_13,0.017056186,0.982943814
BB07_131,0.034044527,0.965955473
BB07_132,0.03372176,0.96627824
BB07_133,0.017056186,0.982943814
BB07_134,0.019596882,0.980403118
BB07_136,0.017056186,0.982943814
BB07_137,0.017056186,0.982943814
BB07_139,0.017056186,0.982943814
BB07_141,0.017056186,0.982943814
BB07_142,0.017056186,0.982943814
BB07_143,0.03372176,0.96627824
BB07_144,0.017056186,0.982943814
BB07_145,0.017056186,0.982943814
BB07_146,0.019745765,0.980254235
BB07_15,0.017056186,0.982943814
BB07_155,0.017056186,0.982943814
BB07_156,0.017056186,0.982943814
BB07_16,0.017056186,0.982943814
BB07_160,0.017056186,0.982943814
BB07_161,0.018572021,0.981427979
BB07_162,0.017056186,0.982943814
BB07_163,0.018572021,0.981427979
BB07_164,0.017056186,0.982943814
BB07_165,0.017056186,0.982943814
BB07_167,0.018572021,0.981427979
BB07_168,0.018572021,0.981427979
BB07_169,0.018572021,0.981427979
BB07_17,0.017056186,0.982943814
BB07_170,0.018572021,0.981427979
BB07_171,0.017056186,0.982943814
BB07_173,0.03372176,0.96627824
BB07_174,0.017056186,0.982943814
BB07_175,0.017056186,0.982943814
BB07_176,0.01822011,0.98177989
BB07_177,0.017056186,0.982943814
BB07_178,0.017056186,0.982943814
BB07_179,0.018290481,0.981709519
BB07_18,0.017123871,0.982876129
BB07_180,0.017056186,0.982943814
BB07_182,0.03372176,0.96627824
BB07_183,0.017056186,0.982943814
BB07_185,0.017056186,0.982943814
BB07_187,0.017056186,0.982943814
BB07_188,0.017056186,0.982943814
BB07_191,0.017056186,0.982943814
BB07_192,0.017056186,0.982943814
BB07_197,0.017056186,0.982943814
BB07_20,0.017056186,0.982943814
BB07_206,0.03372176,0.96627824
BB07_207,0.034044527,0.965955473
BB07_208,0.018572021,0.981427979
BB07_209,0.017056186,0.982943814
BB07_212,0.017056186,0.982943814
BB07_214,0.018572021,0.981427979
BB07_215,0.03372176,0.96627824
BB07_217,0.017056186,0.982943814
BB07_218,0.018572021,0.981427979
BB07_219,0.018572021,0.981427979
BB07_23,0.017056186,0.982943814
BB07_241,0.017249759,0.982750241
BB07_242,0.017056186,0.982943814
BB07_243,0.017056186,0.982943814
BB07_244,0.017056186,0.982943814
BB07_245,0.017056186,0.982943814
BB07_247,0.017056186,0.982943814
BB07_25,0.017056186,0.982943814
BB07_251,0.03372176,0.96627824
BB07_253,0.018572021,0.981427979
BB07_254,0.018572021,0.981427979
BB07_255,0.017056186,0.982943814
BB07_261,0.017362805,0.982637195
BB07_262,0.017056186,0.982943814
BB07_265,0.017056186,0.982943814
BB07_267,0.017056186,0.982943814
BB07_269,0.017056186,0.982943814
BB07_271,0.017056186,0.982943814
BB07_272,0.017056186,0.982943814
BB07_274,0.030599648,0.969400352
BB07_275,0.030599648,0.969400352
BB07_277,0.017733641,0.982266359
BB07_283,0.065570079,0.934429921
BB07_285,0.019596882,0.980403118
BB07_286,0.030599648,0.969400352
