Sample,Region,Location,Host,Sym9,,Sym11,,Sym14,,Sym17,,Sym34,,Sym66,,Sym93,,Sym92,,Sym67,,Sym82,,Sym87,,Sym88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_3,CAR,Barbados,Diploria labyrinthiformis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_19,CAR,Barbados,Palythoa caribaeorum,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_21,CAR,Barbados,Palythoa caribaeorum,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_24,CAR,Barbados,Colpophyllia sp.,106,109,151,153,177,179,141,143,383,385,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_5,CAR,Barbados,Agaricia agaricites,106,109,151,155,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_13,CAR,Barbados,Agaricia agaricites,106,109,151,153,177,179,141,143,381,383,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_18,CAR,Barbados,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_19,CAR,Barbados,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_25,CAR,Barbados,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_29_A,CAR,Barbados,Siderastrea siderea,106,109,151,153,177,179,141,143,385,387,294,294,151,151,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_31,CAR,Barbados,Orbicella annularis,106,109,151,155,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_37,CAR,Barbados,Diploria labyrinthiformis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,0,0,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_47,CAR,Barbados,Orbicella annularis,106,109,151,153,177,179,141,143,379,385,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT_5,CAR,Barbados,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT_15,CAR,Barbados,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT_18,CAR,Barbados,Orbicella annularis,106,109,151,155,177,179,141,143,377,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT_19,CAR,Barbados,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT_20,CAR,Barbados,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT_21,CAR,Barbados,Orbicella annularis,106,109,151,155,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT_22_A,CAR,Barbados,Orbicella annularis,106,109,151,153,177,179,141,143,383,385,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT_23,CAR,Barbados,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,240,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT_24,CAR,Barbados,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,240,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR05_7,CAR,Barbados,Siderastrea siderea,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,237,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR05_15,CAR,Barbados,Colpophyllia natans,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
