"Sample","Host","Length","Width","ITS_D1","ITS_D4","ITS_D6","HetroLoci","Seq","Sym09.x","Sym11.x","Sym14.x","Sym17.x","Sym66.x","Sym67.x","Sym87.x","Sym88.x","Sym92.x","Sym09.y","Sym11.y","Sym14.y","Sym17.y","Sym66.y","Sym67.y","Sym87.y","Sym88.y","Sym92.y"
"AT_24","Orbicella",NA,NA,1,1,0,5,"S. trenchii",102,149,177,143,294,131,238,238,128,105,151,179,145,294,131,242,238,128
"BB07_105","Pocillopora",NA,NA,1,0,0,0,"S. glynnii",105,151,177,155,0,140,250,230,128,105,151,177,155,0,140,250,230,128
"BB07_176","Pocillopora",NA,NA,1,0,0,0,"S. glynnii",105,153,177,151,0,140,250,230,128,105,153,177,151,0,140,250,230,128
"BB07_179","Pocillopora",NA,NA,1,0,0,0,"S. glynnii",105,151,177,155,0,143,250,230,128,105,151,177,155,0,143,250,230,128
"BB07_18","Pocillopora",NA,NA,1,0,0,0,"S. glynnii",108,151,177,169,0,143,246,230,128,108,151,177,169,0,143,246,230,128
"BB07_241","Pocillopora",NA,NA,1,0,0,0,"S. glynnii",105,151,177,163,0,146,262,230,128,105,151,177,163,0,146,262,230,128
"BB07_261","Pocillopora",NA,NA,1,0,0,0,"S. glynnii",105,151,177,157,0,137,246,230,128,105,151,177,157,0,137,246,230,128
"BB07_277","Pocillopora",9.58,8.42,1,0,0,0,"S. glynnii",105,151,177,155,0,140,250,230,128,105,151,177,155,0,140,250,230,128
"BB07_34","Pocillopora",9.72,8.75,1,0,0,0,"S. glynnii",105,151,177,151,0,140,250,230,128,105,151,177,151,0,140,250,230,128
"BB07_40","Pocillopora",NA,NA,1,0,0,0,"S. glynnii",105,0,177,151,0,140,254,230,128,105,0,177,151,0,140,254,230,128
"BB07_41","Pocillopora",NA,NA,1,0,0,0,"S. glynnii",105,151,177,159,0,143,254,230,128,105,151,177,159,0,143,254,230,128
"BB07_54","Pocillopora",NA,NA,1,0,0,0,"S. glynnii",111,151,177,169,0,143,246,230,128,111,151,177,169,0,143,246,230,128
"BB07_58","Pocillopora",NA,NA,1,0,0,0,"S. glynnii",105,149,177,157,0,137,254,230,128,105,149,177,157,0,137,254,230,128
"BB07_60","Pocillopora",NA,NA,1,0,0,0,"S. glynnii",105,151,177,151,0,140,254,230,128,105,151,177,151,0,140,254,230,128
